Swedish,English
jag,I
det,the
är,is
du,you
att,to
inte,not
en,one
och,and
har,have
vi,we
på,on
i,in
för,for
han,he
med,with
som,as
om,if
var,where
vad,What
mig,me
här,here
dig,you
så,so
den,the
kan,can
till,to
de,the
men,but
ett,one
ska,will
ni,you
av,of
hon,she
vill,wants
ja,yes
vet,know
nu,now
nej,No
bara,only
hur,how
min,my
kommer,comes
där,where
måste,must
honom,him
gör,make
din,your
skulle,would
när,when
då,then
kom,Come
ha,have
bra,Good
får,get
man,MAN
vara,be
oss,U.S
ut,out
ta,take
er,your
göra,do
okej,okay
eller,or
hade,had
från,from
varför,why
dem,them
alla,all
tror,think
sig,one
allt,all
henne,her
upp,up
sa,said
ingen,No
tack,thanks
gå,go
in,in
igen,again
få,get
nåt,Something
se,see
går,Going
mycket,very
hej,Hello
vem,who
kanske,perhaps
lite,a little
behöver,need
ser,looks
mitt,my
aldrig,Never
finns,Available
än,than
inget,nothing
efter,after
blir,becomes
ju,Well
hans,his
sen,late
bli,Become
gjorde,did
två,two
nån,Someone
tillbaka,back
tar,takes
mer,more
något,something
över,over
säger,says
fick,got
ditt,your
ge,give
väl,well
också,also
mina,mine
åt,at
nog,probably
fan,Damn
kunde,could
år,year
säga,say
någon,any
mamma,mother
varit,been
ner,down
ville,Wanted
vänta,wait
mot,against
pappa,dad
andra,Other
borde,should
känner,feel
rätt,Right
vid,at
några,a few
hela,whole
såg,SAW
hit,here
prata,talk
komma,come
låt,Let
detta,this
gjort,done
blev,became
själv,self
tog,took
alltid,always
vår,our
utan,without
fel,wrong
hem,Home
mr,Mr.
dag,day
dina,Dina
liv,life
menar,mean
verkligen,really
visst,Certainly
va,VA
förstår,understands
sin,its
tid,time
trodde,thought
gick,went
älskar,Love
sätt,way
berätta,tell
tänker,Thinking
döda,kill
veta,Know
tre,three
många,many
folk,people
sluta,stop
precis,just
inga,no
hennes,her
titta,look
innan,before
visste,knew
gillar,Like
barn,children
bättre,better
hjälpa,help
under,during
förlåt,sorry
gång,walk
bort,away
hjälp,help
händer,happens
just,just
helt,completely
säg,say
tycker,think
första,first
död,death
håll,hold
länge,long
hör,hear
sett,seen
ledsen,sorry
snälla,please
saker,things
hitta,find
fortfarande,still
står,stands
pengar,money
god,good
samma,same
sir,Sir
ens,even
ursäkta,excuse
heter,called
håller,holding
vilken,which
enda,only
gud,God
våra,ours
hand,hand
borta,away
mår,Feel
hallå,Hello
hände,happened
ur,from
problem,problem
vän,Friend
ger,ger
stanna,stay
sak,Thing
dom,judgment
försöker,trying
låter,allows
far,Father
kvar,left
väg,way
annan,Other
redan,already
längre,Further
jävla,fucking
helvete,hell
pratar,Talking
väldigt,very
åh,Oh
herregud,Oh my God
vart,where
dit,there
kväll,Evening
morgon,morning
fått,got
snart,soon
ute,out
fråga,question
sitt,his
tiden,the time
kör,drive
deras,their
tänkte,thought
namn,name
verkar,seems
tro,believe
jo,yes
varje,each
fram,forward
bästa,top
fru,wife
först,first
träffa,hit
säkert,Safe
slut,final
sedan,since
hos,at
ingenting,nothing
därför,because
åka,go
visa,show
säker,sure
lämna,leave
börjar,Starts
vägen,the way
genom,by
gav,gave
härifrån,From here
jobb,Job
hålla,keep
son,son
stor,Big
vänner,Friends
hittade,found
annat,Other
hoppas,hope
sina,their
hörde,heard
vilket,which
kolla,check
minns,Remember
ihop,Together
rädd,afraid
sista,last
även,also
era,era
sex,six
vårt,ours
kunna,be able to
ses,seen
del,part
nästa,Next
fem,five
livet,Life
nya,New
människor,people
bilen,The car
dö,die
riktigt,really
klarar,Can handle
höra,hear
tills,until
liten,small
betyder,mean
tänk,think
tag,tag
lyssna,listen
polisen,The police
ändå,still
sagt,Said
hemma,home
sant,true
världen,The world
fast,fixed
faktiskt,actually
ligger,is located
skit,crap
idag,today
minuter,minutes
familj,family
runt,around
blivit,become
klart,clear
fall,case
väntar,Waiting
dog,died
fyra,four
dra,drag
dollar,dollar
åker,Åker
kul,Fun
tala,speak
illa,badly
män,Men
försökte,tried
dödade,killed
helst,preferably
annars,otherwise
haft,had
sånt,Like
nästan,almost
ensam,alone
inne,in
lika,equal
lägg,Place
hittar,Finds
redo,ready
hämta,retrieve
jobbar,Works
dr,dr
gången,The time
båda,both
ny,new
denna,This one
stora,Big
plats,place
tur,lucky
börja,start
svårt,Hard
lugnt,Quiet
långt,far
spelar,Playing
kvinna,woman
känns,Feels
älskling,Darling
hänt,Happened
bil,car
emot,against
låta,sound
tillsammans,together
öppna,Open
släpp,release
hört,heard
huset,the house
senare,later
bror,Brother
ringer,Calls
lilla,small
be,ask
rör,pipe
ibland,sometimes
rädda,save
heller,either
fort,fast
glad,Happy
gått,gone
mellan,between
nära,close
ifrån,from
hus,House
vore,were
igenom,through
fler,More
s,s
kände,felt
vilka,which
dotter,daughter
bryr,care
dagar,days
kille,boy
tänka,think
bor,Bor
fattar,GETS
gärna,gladly
fanns,existed
ber,ber
började,Started
killen,The guy
sitter,sitting
slå,beat
ännu,yet
tio,ten
trevligt,nice
vilja,will
gott,good
spela,play
bäst,best
chans,chance
gånger,times
varandra,each other
timmar,hours
lever,liver
pengarna,the money
äta,eat
handlar,shopping
natt,night
rum,room
klara,done
mor,mother
gamla,Old
ord,words
ihåg,Remember
reda,Raise
ringa,call
mannen,The man
ert,Er
dags,Time
bakom,behind
eftersom,since
gammal,old
jobbet,the job
dörren,the door
fara,danger
känna,feel
dessa,these
all,all
dör,dies
sån,like that
par,couple
bad,bath
hjälper,helps
alls,at all
tyst,silent
egen,own
kommit,come
ringde,called
dagen,The day
klar,clear
galen,crazy
stan,town
leva,live
syster,Sister
oroa,worry
mat,food
vapen,arms
john,John
ring,ring
skull,sake
idé,Idea
stället,place
antar,assume
tagit,taken
vadå,what
sätta,put
stå,stand
mrs,MRS
jaså,Oh really
berättade,told
ganska,quite
följer,follows
klockan,The clock
tidigare,earlier
hittat,found
följa,follow
räcker,enough
fint,fine
lätt,easy
försöka,try
jack,Jack
lång,long
lovar,promise
förut,before
jobba,work
självklart,obvious
skolan,school
iväg,Away
letar,looking
ikväll,Tonight
flera,several
försök,attempt
mest,most
nytt,New
direkt,Immediately
kvinnor,women
månader,months
utanför,outside
stannar,stops
sanningen,The truth
stämmer,correct
lämnade,left
stort,Large
lär,Learn
dödar,kills
stoppa,stop
pratade,talked
talar,speaks
ben,bone
new,New
undan,away
plan,plan
killar,boys
roligt,Funny
flytta,move
blod,Blood
perfekt,perfect
lära,teach
vatten,water
val,choice
skicka,send
hatar,Hate
kallar,Calls
föräldrar,parents
flicka,girl
vidare,further
före,before
lita,rely
köra,drive
skynda,hurry
alltså,in other words
uppe,up
gäller,applies
använda,use
ont,evil
huvudet,head
ursäkt,excuse
glöm,Forget
medan,while
betala,pay
önskar,desire
fin,nice
herr,Mr.
sent,late
miss,Miss
nere,down
igår,yesterday
kapten,captain
kärlek,Love
roll,role
behövde,needed
imorgon,Tomorrow
kalla,call
arg,angry
lugn,quiet
natten,the night
lämnar,leaving
viktigt,Important
sidan,side
tjej,girl
the,The
fortsätt,continue
vacker,beautiful
hända,happen
köpa,buy
kompis,buddy
inom,within
idiot,idiot
satt,sat
full,full
jaha,Well
sätter,puts
vissa,certain
drar,pulls
tyvärr,unfortunately
nummer,number
tja,Well
lägga,lay
skriva,write
sova,sleep
förstå,Understand
snäll,kind
veckor,weeks
älskade,Loved
visar,shows
saken,The thing
snabbt,Quickly
tyckte,thought
ställe,place
gifta,Married
mindre,less
enligt,according to
undrar,Wondering
tänkt,thought
sida,page
tittar,looking
resten,the rest
konstigt,Strange
äter,Eat
vecka,week
ok,Ok
typ,type
hjärta,heart
frågor,questions
misstag,mistake
grund,basic
skydda,protect
låg,low
följ,Follow
absolut,absolutely
förklara,explain
lät,sounded
svara,respond
familjen,The family
nå,reach
nånsin,ever
själva,themselves
berättar,tells
ögon,eyes
möjligt,possible
välkommen,Welcome
varsågod,You are welcome
slår,beats
sköt,shot
goda,Good
lugna,calm
kort,short
person,person
hårt,hard
sitta,sit
pojke,boy
höll,held
otroligt,unbelievable
allihop,all
fortsätta,continue
tom,Empty
skyldig,guilty
använder,uses
träffas,meet
sju,seven
toppen,top
barnen,The children
träffade,met
exakt,exactly
tillräckligt,enough
värre,worse
egentligen,actually
lycka,happiness
historia,history
skrev,wrote
stod,stood
fungerar,Works
fixa,Fix
åkte,went
jobbat,Worked
saknar,Missing
större,major
någonsin,ever
såna,those
massa,pulp
bör,should
slog,struck
hoppa,jump
senaste,Last
små,small
kropp,body
brukar,usually
förrän,before
bo,stay
trött,tired
grabben,The guy
miljoner,Millions
sjuk,ill
hämtar,fetches
förra,last
kära,Dear
käften,The jaw
stick,Stick
hälsa,health
hemskt,Terrible
sägs,is said
aning,idea
gift,married
frågar,asks
dum,stupid
skada,damage
dåligt,badly
frågade,asked
inför,infront of
bevis,evidence
lägger,Puts
kaffe,coffee
middag,dinner
oj,Oh
dess,its
synd,sin
behöva,need
skjuta,shoot
förbi,past
charlie,Charlie
åtta,eight
york,York
order,order
leta,Find
slutar,ends
någonting,anything
igång,running
strax,just
framför,in front
skall,shall
polis,police
annorlunda,different
ögonblick,moment
läget,the situation
ofta,Often
sam,Sam
dricka,drink
tjänst,service
chefen,The boss
jorden,the earth
början,beginning
la,la
enkelt,easy
ung,Young
olika,various
stund,while
läsa,read
arbete,work
resa,trip
david,David
land,country
skickade,sent
eget,own
brukade,used to
riktig,TRUE
betalar,pays
agent,agent
orolig,worried
mord,murder
söker,searching
frank,Frank
råd,advice
dålig,bad
sticker,Sticks
må,feel
funkar,Works
tvungen,forced
skriver,Writes
krig,war
joe,Joe
egna,Own
huvud,head
händerna,Hands
överallt,Everywhere
smart,smart
herrar,gentlemen
usa,USA
spring,running
george,George
timme,hour
fortsätter,continues
samtal,Call
ansikte,face
beklagar,regrets
jävel,son of a bitch
ställa,put
allvar,seriously
kvällen,evening
svar,response
telefon,phone
slåss,fight
rummet,the room
menade,meant
särskilt,particularly
doktorn,The doctor
läkare,Doctor
finnas,be
landet,the country
a,a
ljuger,lies
ögonen,the eyes
barnet,the child
fixar,Fixes
största,largest
förr,before
nånting,Something
tv,TV
mike,Mike
vinna,win
glömde,Forgot
människa,person
körde,drove
staden,the city
herre,Lord
satte,put
veckan,The week
lyssnar,Listens
sover,Sleeps
fantastiskt,Fantastic
chef,manager
trots,despite
kvinnan,the woman
omkring,about
åtminstone,At least
fängelse,prison
flickan,The girl
förlorade,lost
michael,Michael
räddade,saved
köpte,Bought
trevlig,nice
värld,world
berättat,told
information,information
passar,Fits
äntligen,finally
stark,strong
fri,free
problemet,the problem
hund,dog
nånstans,somewhere
andas,breathe
skaffa,get
förlora,lose
behövs,needed
älska,love
skickar,Sends
rätta,correct
allvarligt,seriously
röra,move
uppfattat,Roger
kallas,called
kroppen,the body
kriget,the war
max,Max
peter,Peter
träffat,met
kläder,clothes
släppa,drop
fart,speed
advokat,lawyer
istället,instead
rakt,straight
frågan,the question
allting,everything
ned,down
hel,whole
skjuter,Shoots
skiten,The shit
gett,given
sjukhuset,the hospital
skjut,Slide
fred,peace
vita,White
lnte,LNTE
fbi,FBI
litar,trust
sälja,sell
dan,Dan
gillade,Liked
svart,black
bär,berries
sättet,the way
lycklig,happy
intressant,interesting
förutom,except
pratat,talked
tjejer,girls
naturligtvis,of course
kollar,Looks
nyheter,News
personer,people
tjejen,the girl
jösses,Crikey
sekunder,seconds
levande,live
arbetar,working
guds,God
vinner,Wins
pågår,In progress
försiktig,careful
planet,planet
vattnet,the water
stolt,proud
fallet,the case
tacka,thank
mördare,killer
döden,Death
meddelande,message
javisst,Sure
beslut,decision
förtjänar,deserves
james,James
öl,beer
kontor,office
flesta,most
raring,dear
anledning,reason
mark,ground
bland,among
vänster,left
litet,small
pojken,the boy
tidigt,early
skojar,joking
vakna,wake
film,Film
plötsligt,suddenly
jättebra,Great
snygg,handsome
knappt,hardly
slutet,the end
hår,hair
försvann,disappeared
fest,party
möte,Meeting
riktiga,real
eld,Fire
skål,bowl
l,l
försökt,tried
lärde,learned
nio,nine
affärer,business
hjälpte,helped
ers,ers
snackar,talking
underbart,wonderfully
känt,known
tredje,third
damer,Ladies
bok,Book
dödat,killed
djur,animal
farbror,uncle
både,both
visade,showed
oh,Oh
skönt,Nice
ordna,arrange
duktig,good
president,President
morse,Morse
delar,parts
grattis,Congratulations
jobbade,Worked
tydligen,apparently
kontakt,Contact
farligt,Dangerous
alldeles,Right
omöjligt,impossible
träffar,hits
e,e
höger,Right
världens,The world
spel,game
mål,goal
låtsas,pretend
glömma,forget
välja,select
känslor,feelings
kallade,called
förlorat,lost
fader,Father
pa,Pa
ändra,change
leder,joints
kung,King
lovade,promised
sov,sleeping
året,the year
sticka,knit
svarta,Blacks
paul,Paul
fantastisk,fantastic
högt,high
henry,Henry